time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.422203113175639e-01	2.717831e+00	2.698939e+00	5.901109e-06	2.503831e-01
1.431968738175639e-01	2.713652e+00	2.694788e+00	5.845125e-06	2.520043e-01
1.441734363175639e-01	2.710024e+00	2.691185e+00	5.791494e-06	2.536582e-01
1.451499988175639e-01	2.706951e+00	2.688134e+00	5.740269e-06	2.553416e-01
1.461265613175639e-01	2.704437e+00	2.685637e+00	5.690948e-06	2.570463e-01
1.462104846574076e-01	2.704247e+00	2.685449e+00	5.686846e-06	2.571942e-01
1.462944079972514e-01	2.704061e+00	2.685264e+00	5.682767e-06	2.573423e-01
1.463783313370951e-01	2.703879e+00	2.685084e+00	5.678712e-06	2.574906e-01
1.464622546769389e-01	2.703702e+00	2.684908e+00	5.674679e-06	2.576391e-01
1.465461780167826e-01	2.703529e+00	2.684735e+00	5.670670e-06	2.577878e-01
1.466301013566264e-01	2.703359e+00	2.684567e+00	5.666685e-06	2.579367e-01
1.467140246964701e-01	2.703194e+00	2.684403e+00	5.662722e-06	2.580859e-01
1.467142631150492e-01	2.703194e+00	2.684403e+00	5.662711e-06	2.580863e-01
1.467147399522074e-01	2.703193e+00	1.351596e-06	5.662689e-06	2.580872e-01
1.467156936265238e-01	2.703191e+00	1.351595e-06	5.662644e-06	2.580889e-01
1.469944390052906e-01	2.702673e+00	1.351336e-06	5.649670e-06	2.585858e-01
1.472731843840573e-01	2.702200e+00	1.351099e-06	5.636913e-06	2.590843e-01
1.475519297628241e-01	2.701774e+00	1.350886e-06	5.624371e-06	2.595843e-01
1.478306751415908e-01	2.701393e+00	1.350696e-06	5.612045e-06	2.600858e-01
1.481094205203576e-01	2.701058e+00	1.350528e-06	5.599936e-06	2.605888e-01
1.483881658991243e-01	2.700769e+00	1.350384e-06	5.588042e-06	2.610933e-01
1.486669112778910e-01	2.700526e+00	1.350262e-06	5.576364e-06	2.615992e-01
1.496434737778910e-01	2.700038e+00	1.350018e-06	5.536704e-06	2.633773e-01
1.506200362778910e-01	2.700114e+00	1.350056e-06	5.499634e-06	2.651670e-01
1.515965987778910e-01	2.700755e+00	1.350377e-06	5.465173e-06	2.669652e-01
1.525731612778910e-01	2.701959e+00	1.350979e-06	5.433335e-06	2.687685e-01
1.535497237778910e-01	2.703727e+00	1.351863e-06	5.404130e-06	2.705740e-01
1.545262862778910e-01	2.706056e+00	1.353027e-06	5.377569e-06	2.723784e-01
1.555028487778910e-01	2.708944e+00	1.354471e-06	5.353658e-06	2.741784e-01
1.564794112778910e-01	2.712388e+00	1.356193e-06	5.332403e-06	2.759710e-01
1.574559737778910e-01	2.716385e+00	1.358192e-06	5.313806e-06	2.777529e-01
1.584325362778910e-01	2.720931e+00	1.360465e-06	5.297870e-06	2.795209e-01
1.594090987778910e-01	2.726023e+00	1.363011e-06	5.284596e-06	2.812719e-01
1.603856612778910e-01	2.731654e+00	1.365827e-06	5.273984e-06	2.830027e-01
1.613622237778910e-01	2.737821e+00	1.368910e-06	5.266035e-06	2.847101e-01
1.623387862778910e-01	2.744517e+00	1.372258e-06	5.260747e-06	2.863911e-01
1.633153487778910e-01	2.751735e+00	1.375867e-06	5.258120e-06	2.880426e-01
1.642919112778910e-01	2.759469e+00	1.379734e-06	5.258154e-06	2.896614e-01
1.652684737778910e-01	2.767713e+00	1.383856e-06	5.260847e-06	2.912445e-01
1.662450362778910e-01	2.776457e+00	1.388228e-06	5.266198e-06	2.927890e-01
1.672215987778910e-01	2.785694e+00	1.392846e-06	5.274209e-06	2.942919e-01
1.691747237778910e-01	2.805610e+00	1.402804e-06	5.298207e-06	2.971612e-01
1.711278487778910e-01	2.827388e+00	1.413693e-06	5.332845e-06	2.998304e-01
