time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.020986672669164e-01	3.260470e+00	3.237805e+00	5.155940e-06	4.123685e-01
1.021433055299638e-01	3.259630e+00	3.236971e+00	5.154959e-06	4.122345e-01
1.021879437930111e-01	3.258791e+00	3.236138e+00	5.153982e-06	4.121004e-01
1.022325820560585e-01	3.257951e+00	3.235304e+00	5.153006e-06	4.119662e-01
1.022772203191059e-01	3.257112e+00	3.234471e+00	5.152033e-06	4.118317e-01
1.023218585821533e-01	3.256273e+00	3.233637e+00	5.151061e-06	4.116972e-01
1.023664968452007e-01	3.255434e+00	3.232804e+00	5.150093e-06	4.115624e-01
1.024111351082480e-01	3.254595e+00	3.231971e+00	5.149126e-06	4.114276e-01
1.027234549431753e-01	3.248727e+00	3.226144e+00	5.142428e-06	4.104798e-01
1.033480946130297e-01	3.237006e+00	3.214505e+00	5.129207e-06	4.085734e-01
1.034701649255297e-01	3.234718e+00	3.212233e+00	5.126661e-06	4.081985e-01
1.037753407067797e-01	3.229003e+00	3.206557e+00	5.120376e-06	4.072564e-01
1.039756123132250e-01	3.225256e+00	3.202836e+00	5.116302e-06	4.066353e-01
1.039756437845313e-01	3.225255e+00	3.202836e+00	3.700473e-01	4.066352e-01
1.039757067271438e-01	3.225254e+00	3.202835e+00	2.192778e+00	4.066350e-01
1.039757341267835e-01	3.225254e+00	3.202834e+00	2.905511e+00	4.066349e-01
1.039757584919713e-01	3.225253e+00	3.202834e+00	3.138650e+00	4.066349e-01
1.039757779341050e-01	3.225253e+00	3.202833e+00	3.160004e+00	4.066348e-01
1.039757989458388e-01	3.225253e+00	3.202833e+00	3.166526e+00	4.066347e-01
1.039758259028081e-01	3.225252e+00	3.202832e+00	3.166628e+00	4.066346e-01
1.039758593339982e-01	3.225251e+00	3.202832e+00	3.167479e+00	4.066345e-01
1.039759100375355e-01	3.225250e+00	3.202831e+00	3.167155e+00	4.066344e-01
1.039759883920319e-01	3.225249e+00	3.202829e+00	3.167330e+00	4.066342e-01
1.039761144848366e-01	3.225247e+00	3.202827e+00	3.167229e+00	4.066337e-01
1.039763310108907e-01	3.225243e+00	3.202823e+00	3.167280e+00	4.066331e-01
1.039766966097621e-01	3.225236e+00	3.202816e+00	3.167243e+00	4.066319e-01
1.039773359690799e-01	3.225224e+00	3.202804e+00	3.167249e+00	4.066299e-01
1.039784504050318e-01	3.225203e+00	3.202784e+00	3.167219e+00	4.066265e-01
1.039803998819954e-01	3.225167e+00	3.202747e+00	3.167189e+00	4.066204e-01
1.039838340170644e-01	3.225102e+00	3.202684e+00	3.167123e+00	4.066097e-01
1.039904589124906e-01	3.224978e+00	3.202560e+00	3.167004e+00	4.065892e-01
1.040037087033429e-01	3.224731e+00	3.202314e+00	3.167379e+00	4.065480e-01
1.040070211510559e-01	3.224669e+00	3.202253e+00	3.167216e+00	4.065377e-01
1.040136460464821e-01	3.224545e+00	3.202130e+00	3.166580e+00	4.065171e-01
1.040268958373343e-01	3.224297e+00	3.201884e+00	3.166339e+00	4.064759e-01
1.040273098932985e-01	3.224289e+00	3.201876e+00	3.166331e+00	4.064746e-01
1.040281380052267e-01	3.224274e+00	3.201861e+00	3.166315e+00	4.064720e-01
